finding_id,case_id,package_name,vulnerability_id,scanner_names,scanner_count,scanner_overlap,disagreement_flag,disagreement_reason
43467daa40bf4d25cb44,case_001,lodash,1106913,npm_audit,1,False,False,single-scanner finding
05d464298c48418eb870,case_001,lodash,1108258,npm_audit,1,False,False,single-scanner finding
ac649cc52d7d06e64c74,case_001,lodash,1112455,npm_audit,1,False,False,single-scanner finding
52df5173d3fdb79adb4e,case_001,lodash,1115806,npm_audit,1,False,False,single-scanner finding
6ef11ce2ccfb42da5fb7,case_001,lodash,1115810,npm_audit,1,False,False,single-scanner finding
94140debcfa4ad0a79ea,case_002,pyyaml,PYSEC-2021-142,pip_audit,1,False,False,single-scanner finding
a41e0c6d46f7e5a80cce,case_003,lodash,1106913,npm_audit,1,False,False,single-scanner finding
9ae62f583410cb72b281,case_003,lodash,1108258,npm_audit,1,False,False,single-scanner finding
78b5d786419948cf4d60,case_003,lodash,1112455,npm_audit,1,False,False,single-scanner finding
ccbbf268b117000d38c6,case_003,lodash,1115806,npm_audit,1,False,False,single-scanner finding
f06b527047699a540d22,case_003,lodash,1115810,npm_audit,1,False,False,single-scanner finding
37b34e6578a556692199,case_004,pyyaml,PYSEC-2021-142,pip_audit,1,False,False,single-scanner finding
ad5242ab391b264a8339,case_005,lodash,1106913,npm_audit,1,False,False,single-scanner finding
644732398f43e8ef9adf,case_005,lodash,1108258,npm_audit,1,False,False,single-scanner finding
3a7bd891282ad1494f9e,case_005,lodash,1112455,npm_audit,1,False,False,single-scanner finding
51cb74aee46ad378cdff,case_005,lodash,1115806,npm_audit,1,False,False,single-scanner finding
f93bcb459ea8c89cb42f,case_005,lodash,1115810,npm_audit,1,False,False,single-scanner finding
bb1f1aaf25014f7f725b,case_006,pyyaml,PYSEC-2021-142,pip_audit,1,False,False,single-scanner finding
6da7dcb28d93ec354a24,case_007,lodash,1106913,npm_audit,1,False,False,single-scanner finding
45443f83d7ffae16b2d5,case_007,lodash,1108258,npm_audit,1,False,False,single-scanner finding
986bbcaa99630768b294,case_007,lodash,1112455,npm_audit,1,False,False,single-scanner finding
9a73980d7096056ad7a1,case_007,lodash,1115806,npm_audit,1,False,False,single-scanner finding
ea5036e04bae5a560aa8,case_007,lodash,1115810,npm_audit,1,False,False,single-scanner finding
1f880d6c783127da34b0,case_008,pyyaml,PYSEC-2021-142,pip_audit,1,False,False,single-scanner finding
deaa31846cc0fd8ceb82,case_009,minimist,1096466,npm_audit,1,False,False,single-scanner finding
7f6efbcbe5410d408401,case_009,minimist,1097677,npm_audit,1,False,False,single-scanner finding
ea78a180a9ae06551f9e,case_010,requests,CVE-2024-35195,pip_audit,1,False,False,single-scanner finding
c9e3889ac45e265041cf,case_010,requests,CVE-2024-47081,pip_audit,1,False,False,single-scanner finding
02f460ad7b9398cf21c0,case_010,requests,CVE-2026-25645,pip_audit,1,False,False,single-scanner finding
ee6ddc365d25f5b412e0,case_010,requests,PYSEC-2018-28,pip_audit,1,False,False,single-scanner finding
48cb1a8aa7ff85d04b24,case_010,requests,PYSEC-2023-74,pip_audit,1,False,False,single-scanner finding
ca2f712989ff7d36fc34,case_011,minimist,1096466,npm_audit,1,False,False,single-scanner finding
4421cb015d6251153ad2,case_011,minimist,1097677,npm_audit,1,False,False,single-scanner finding
3c9c2a79670f826dde78,case_012,requests,CVE-2024-35195,pip_audit,1,False,False,single-scanner finding
893142c3023bb0a20789,case_012,requests,CVE-2024-47081,pip_audit,1,False,False,single-scanner finding
923d94770a3d40ceaea0,case_012,requests,CVE-2026-25645,pip_audit,1,False,False,single-scanner finding
bc49a54214d1635ea1d0,case_012,requests,PYSEC-2018-28,pip_audit,1,False,False,single-scanner finding
00038eb9bb0dfb81077c,case_012,requests,PYSEC-2023-74,pip_audit,1,False,False,single-scanner finding
d9c7b061cadd3fac5c62,case_013,minimist,1096466,npm_audit,1,False,False,single-scanner finding
584b446fe1529ff19370,case_013,minimist,1097677,npm_audit,1,False,False,single-scanner finding
a37de33001c8d81cf663,case_014,requests,CVE-2024-35195,pip_audit,1,False,False,single-scanner finding
9cab54d3f556818f27eb,case_014,requests,CVE-2024-47081,pip_audit,1,False,False,single-scanner finding
b177d747a14b673082d5,case_014,requests,CVE-2026-25645,pip_audit,1,False,False,single-scanner finding
1f33321a533d386526a2,case_014,requests,PYSEC-2018-28,pip_audit,1,False,False,single-scanner finding
292e3780817eb8d3a4cf,case_014,requests,PYSEC-2023-74,pip_audit,1,False,False,single-scanner finding
a65401f422ae11934e1e,case_015,minimist,1096466,npm_audit,1,False,False,single-scanner finding
b1bcb72b55d2ab97efc6,case_015,minimist,1097677,npm_audit,1,False,False,single-scanner finding
a2d49b613b907cc60c90,case_016,requests,CVE-2024-35195,pip_audit,1,False,False,single-scanner finding
7e66676936963cf5a71e,case_016,requests,CVE-2024-47081,pip_audit,1,False,False,single-scanner finding
6aac5c36f3b213a1bed9,case_016,requests,CVE-2026-25645,pip_audit,1,False,False,single-scanner finding
c394b1b77c7587c9f2de,case_016,requests,PYSEC-2018-28,pip_audit,1,False,False,single-scanner finding
e908a676abf6caee7fee,case_016,requests,PYSEC-2023-74,pip_audit,1,False,False,single-scanner finding
5b76eaab3610a8af058c,case_017,express,1100530,npm_audit,1,False,False,single-scanner finding
e08705857748d60ba734,case_017,express,1111636,npm_audit,1,False,False,single-scanner finding
6fcd0bdc3d7c7a31e762,case_017,qs,1104118,npm_audit,1,False,False,single-scanner finding
05792c8dfd3351fb7286,case_017,qs,1113719,npm_audit,1,False,False,single-scanner finding
7bebf237fbfc461c4f5d,case_018,flask,CVE-2026-27205,pip_audit,1,False,False,single-scanner finding
db90da56d22d2276688b,case_018,flask,PYSEC-2018-66,pip_audit,1,False,False,single-scanner finding
57dd608e3d1af78c40ac,case_018,flask,PYSEC-2019-179,pip_audit,1,False,False,single-scanner finding
8f5ac911b6bf592dd32e,case_018,flask,PYSEC-2023-62,pip_audit,1,False,False,single-scanner finding
bc3bf75fb5a7259c12c2,case_018,jinja2,CVE-2024-22195,pip_audit,1,False,False,single-scanner finding
789160f56279bbd9a5a1,case_018,jinja2,CVE-2024-34064,pip_audit,1,False,False,single-scanner finding
3ded2f5cac813afee8a5,case_018,jinja2,CVE-2024-56326,pip_audit,1,False,False,single-scanner finding
200fcc381fd02460d766,case_018,jinja2,CVE-2025-27516,pip_audit,1,False,False,single-scanner finding
edade59c3034ed4a4b87,case_018,jinja2,PYSEC-2019-217,pip_audit,1,False,False,single-scanner finding
10f9db271974da78af5c,case_018,jinja2,PYSEC-2021-66,pip_audit,1,False,False,single-scanner finding
fa9d71bbf2896549aa3a,case_019,express,1100530,npm_audit,1,False,False,single-scanner finding
5e9c2bf5fb6791548430,case_019,express,1111636,npm_audit,1,False,False,single-scanner finding
a5fa799bab3849ec0bff,case_019,qs,1104118,npm_audit,1,False,False,single-scanner finding
2ff8544aa8483b8c5967,case_019,qs,1113719,npm_audit,1,False,False,single-scanner finding
663c3174755221bad64a,case_020,flask,CVE-2026-27205,pip_audit,1,False,False,single-scanner finding
38ae27ba53c10af219ba,case_020,flask,PYSEC-2018-66,pip_audit,1,False,False,single-scanner finding
a29c743de67329760efb,case_020,flask,PYSEC-2019-179,pip_audit,1,False,False,single-scanner finding
e372f93ebdada10b75a3,case_020,flask,PYSEC-2023-62,pip_audit,1,False,False,single-scanner finding
b42e3bb88b0c08f985d8,case_020,jinja2,CVE-2024-22195,pip_audit,1,False,False,single-scanner finding
dd3309273e4d0f97023a,case_020,jinja2,CVE-2024-34064,pip_audit,1,False,False,single-scanner finding
6707c5935c6c650fe445,case_020,jinja2,CVE-2024-56326,pip_audit,1,False,False,single-scanner finding
2c10f637f57b9c148b74,case_020,jinja2,CVE-2025-27516,pip_audit,1,False,False,single-scanner finding
a1fbcd41bdde37bc9ffb,case_020,jinja2,PYSEC-2019-217,pip_audit,1,False,False,single-scanner finding
a5579bea8ec8b999f3e2,case_020,jinja2,PYSEC-2021-66,pip_audit,1,False,False,single-scanner finding
fbe8c3351a4aa3daa501,case_021,express,1100530,npm_audit,1,False,False,single-scanner finding
3d9f44081bd207805296,case_021,express,1111636,npm_audit,1,False,False,single-scanner finding
607b0e0584b8e5403e59,case_021,qs,1104118,npm_audit,1,False,False,single-scanner finding
69fd8f073f58a30ab20e,case_021,qs,1113719,npm_audit,1,False,False,single-scanner finding
b28313b1b573c35db0c7,case_022,flask,CVE-2026-27205,pip_audit,1,False,False,single-scanner finding
77005605feb35cd06ef5,case_022,flask,PYSEC-2018-66,pip_audit,1,False,False,single-scanner finding
acbe419f1f993b2a29c4,case_022,flask,PYSEC-2019-179,pip_audit,1,False,False,single-scanner finding
a986ce036eed10c86285,case_022,flask,PYSEC-2023-62,pip_audit,1,False,False,single-scanner finding
afa4a94ffa7bb36b27ee,case_022,jinja2,CVE-2024-22195,pip_audit,1,False,False,single-scanner finding
c41a8eb09c1cb71d4bb0,case_022,jinja2,CVE-2024-34064,pip_audit,1,False,False,single-scanner finding
6c0a166cfb7e005a3697,case_022,jinja2,CVE-2024-56326,pip_audit,1,False,False,single-scanner finding
a75e60098eaa8df22b68,case_022,jinja2,CVE-2025-27516,pip_audit,1,False,False,single-scanner finding
974434df5bbf6c667d11,case_022,jinja2,PYSEC-2019-217,pip_audit,1,False,False,single-scanner finding
743ab0294b77f63f9b0e,case_022,jinja2,PYSEC-2021-66,pip_audit,1,False,False,single-scanner finding
b9d56e0335ac33a939cc,case_023,express,1100530,npm_audit,1,False,False,single-scanner finding
2eca861b667e59cfeddb,case_023,express,1111636,npm_audit,1,False,False,single-scanner finding
ec2acca33b475fced4aa,case_023,qs,1104118,npm_audit,1,False,False,single-scanner finding
20bb33a1f2ff288dd466,case_023,qs,1113719,npm_audit,1,False,False,single-scanner finding
c5e4266beecd374a9631,case_024,flask,CVE-2026-27205,pip_audit,1,False,False,single-scanner finding
b8a5dbf099ef8c9453ad,case_024,flask,PYSEC-2018-66,pip_audit,1,False,False,single-scanner finding
45638add9dc0f2ffb8d8,case_024,flask,PYSEC-2019-179,pip_audit,1,False,False,single-scanner finding
b8c9df1ce3e63f506a64,case_024,flask,PYSEC-2023-62,pip_audit,1,False,False,single-scanner finding
3cc3cbe2fae3d180867a,case_024,jinja2,CVE-2024-22195,pip_audit,1,False,False,single-scanner finding
